cip13,lib_cip13,remboursement_total,rang,remboursement_cumule,part_cumulee
3400939711355,CLOPIDOGREL EVO 75MG CPR 30,408896.54,4152,23605867371.61,96.5867183486094
3400930083543,ROSUVASTATINE TVC 20MG CPR 90,408834.54,4153,23606276206.15,96.58839115249093
3400930193266,TOLAK 40MG/G CREME TUBE 20G 1,408213.4,4154,23606684419.55,96.590061414891
3400930205266,TOLVAPTAN TEVA 15 MG / 45 MG CPR 56,408129.6,4155,23607092549.15,96.59173133441162
3400930059609,LEVOCETIRIZINE ZEN 5MG CPR 28,407959.09,4156,23607500508.24,96.59340055626664
3400938672022,FLUVASTATINE SDZ LP 80 MG CPR 30,407775.73,4157,23607908283.97,96.59506902787851
3400930010822,GLICLAZIDE EG LM 60MG CPR 30,407712.38,4158,23608315996.35,96.59673724028495
3400930728796,NIFLURIL 250MG GELULE 30,407661.93,4159,23608723658.28,96.59840524626814
3400938822885,CICLOPIROX VTS 8% VERNIS 1,407420.36,4160,23609131078.64,96.6000722638338
3400922161419,IRBESARTAN ZEN 150 MG CPR PELL 30,407404.6,4161,23609538483.24,96.60173921691519
3400933022105,PSYLIA PDR ORALE EFF SACHET 20,407374.44,4162,23609945857.68,96.60340604659272
3400930140055,PERINDOPRIL AMLO ZEN 4/5MG CPR 30,407309.81,4163,23610353167.49,96.60507261182754
3400930139738,TRAVOPROST BGA 40 MCG/ML COLLYRE 1,407162.48,4164,23610760329.97,96.60673857424098
3400933531539,ASPIRINE UPSA 1G CPR EFF 20,406808.25,4165,23611167138.22,96.60840308727268
3400930205686,FLUCONAZOLE ARL 100MG GELULE 7,406762.07,4166,23611573900.29,96.61006741135243
3400930069134,BISOPROLOL EG 5MG CPR 90,406734.61,4167,23611980634.9,96.61173162307574
3400930119761,L THYROXIN HNG 25 MICROG CPR 100,406627.52,4168,23612387262.420002,96.6133953966253
3400938183047,CEFTAZIDIME VIATRIS 1G PDR INJ 1,406181.9,4169,23612793444.32,96.61505734685808
3400932946921,HYPERIUM 1MG CPR 30,406040.55,4170,23613199484.87,96.61671871873752
3400937286992,ATENOLOL TVC 50MG CPR 30,406006.64,4171,23613605491.51,96.61837995186943
3400926934446,REPAGLINIDE ARL 2 MG CPR 90,405670.15,4172,23614011161.66,96.6200398082053
3400937658553,GLIMEPIRIDE VIATRIS 3MG CPR 30,405564.73,4173,23614416726.39,96.62169923320046
3400930022597,ROSUVASTATINE ZEN 20MG CPR 90,404680.86,4174,23614821407.25,96.62335504171749
3400934306754,TAHOR 10MG CPR 28,404466.85,4175,23615225874.1,96.62500997458258
3400934830518,EPITOMAX 15 MG GELULE 28,404263.94,4176,23615630138.04,96.62666407721294
3400933466091,"DIGOXINE NATIVELLE 0,25MG CPR 30",404238.6,4177,23616034376.64,96.62831807616114
3400941994708,RALOXIFENE BGA 60MG CPR 28,403868.34,4178,23616438244.98,96.62997056013859
3400932309016,"DIPROSONE 0,05% CREME TUBE 30G 1",403766.68,4179,23616842011.66,96.63162262815989
3400939170411,LERCANIDIPINE BCR 20MG CPR 30,403314.75,4180,23617245326.41,96.63327284704619
3400949914012,INORIAL 20MG CPR 30,403158.13,4181,23617648484.54,96.63492242509979
3400930107713,OROFLUCO 150 MG GELULE 6,403080.41000000003,4182,23618051564.95,96.6365716851511
3400935812568,CURACNE 5MG CAPSULE MOLLE 30,402425.44,4183,23618453990.39,96.63821826530075
3400936930506,CADUET 5 MG/10 MG CPR 30,401742.6,4184,23618855732.99,96.63986205151475
3400932805372,"TOBREX 0,3% POMMADE OPH 1",401197.44,4185,23619256930.43,96.64150360713012
3400930012178,RETACRIT 10 000UI SOL INJ SER D 6,401047.82,4186,23619657978.25,96.64314455055425
3400930108338,ANASTROZOLE SDZ 1MG CPR 20,401024.22000000003,4187,23620059002.47,96.6447853974157
3400926844516,DILTIAZEM BGR LP 300MG GELULE 90,400652.34,4188,23620459654.81,96.64642472267793
3400930139912,PERINDOPRIL AMLO ZEN 8/10MG CPR 30,399637.89,4189,23620859292.7,96.64805989717567
3400932351008,ANDROCUR 50MG CPR 20,399555.32,4190,23621258848.02,96.64969473382665
3400933956547,DISCOTRINE 15MG/24H DISP TRANDERM 30,399456.98,4191,23621658305,96.65132916810573
3400922110950,RALOXIFENE SDZ 60MG CPR 84,399294.26,4192,23622057599.26,96.6529629365931
3400937800273,FENOFIBRATE TVS 200MG GELULE 90,399082.02,4193,23622456681.28,96.65459583667074
3400930010457,"ACCOFIL 48 MUI/0,5 ML SOL INJ SER 1",398674.29,4194,23622855355.57,96.65622706846388
3400937224611,GLUCOPHAGE 850MG CPR 90,398547.29,4195,23623253902.86,96.6578577806187
3400927756337,OXYCODONE EG LP 30MG CPR 28,398261.09,4196,23623652163.95,96.65948732174606
3400930172087,FLUTICASO/SALM SDZ 250/25 MICROG INH 1,398223.26,4197,23624050387.21,96.66111670808665
3400930107447,XENETIX 300 SOL INJ FL 150ML + NEC 1,398036.11,4198,23624448423.32,96.66274532867678
3400935674401,PARIET 10MG CPR 28,397975.8,4199,23624846399.12,96.66437370250007
3400933983680,IOPAMIRON 370 SOL INJ FL 100ML + NEC 1,397812.7,4200,23625244211.82,96.66600140897684
3400930114759,EZETIMIBE/SIMVAST ZEN 10MG/20MG CPR 30,397681.85,4201,23625641893.670002,96.66762858006248
3400931631163,LERCANIDIPINE ACT 20MG CPR 30,397500.23,4202,23626039393.9,96.6692550080244
3400937190398,GLIMEPIRIDE BGR 3MG CPR 90,397076.07,4203,23626436469.97,96.67087970047616
3400936161733,IOMERON 400 SOL INJ FL 150ML AN 1,396842.66,4204,23626833312.63,96.67250343789816
3400935296986,"CARDENSIEL 1,25MG CPR 90",396507.97,4205,23627229820.6,96.67412580588906
3400930081372,ATARAX 25MG CPR 30,396361.91,4206,23627626182.51,96.67574757625499
3400930000885,HARVONI 90MG/400MG CPR 28,396316.16,4207,23628022498.670002,96.67736915942838
3400937157223,BUPRENORPHINE ARW 8MG CPR 7,396128.39,4208,23628418627.06,96.67898997431446
3400927928383,AMOXICILLINE ZTL 500MG/5ML PDR ORALE 1,395732.51,4209,23628814359.57,96.68060916940198
3400933324933,MOCLAMINE 150MG CPR 30,395401.69,4210,23629209761.26,96.68222701089306
3400932830565,NITRIDERM TTS 10MG/24H DISP TRANSDER 30,395327.57,4211,23629605088.83,96.68384454911177
3400930190708,DULOXETINE TVC 60MG GELULE 28,394962.09,4212,23630000050.920002,96.68546059191776
3400930153802,GUIOX 100 000 UI SOL BUV 1,394956.98,4213,23630395007.9,96.68707661381546
3400936766372,FUCIDINE 250 MG CPR 10,394839.41,4214,23630789847.31,96.68869215465904
3400939012704,PRAVASTATINE SDZ 10 MG CPR 30,394816.75,4215,23631184664.06,96.69030760278604
3400930044421,RISPERIDONE BGA 1 MG CPR 60,394761.72,4216,23631579425.78,96.69192282575004
3400930112502,ATORVASTATINE ARG 80 MG CPR 90,394547.21,4217,23631973972.99,96.69353717101633
3400938339475,BETAHISTINE ZEN 24MG CPR 60,394505.37,4218,23632368478.36,96.69515134508836
3400927402210,"CANDESARTAN/HCTZ TVS 16/12,5 CPR 90",394455.45,4219,23632762933.81,96.69676531490572
3400930114735,AMOXICILLINE CRT 1G CPR DISP 14,394401.91,4220,23633157335.72,96.69837906565665
3400930018125,PREGABALINE VTS 25MG GELULE 84,394252.8,4221,23633551588.52,96.6999922063031
3400927797668,DILTIAZEM VIATRIS LP 200MG GELULE 30,394168.93,4222,23633945757.45,96.70160500378367
3400939104935,ABSTRAL 400MICROG CPR 30,393546.24,4223,23634339303.69,96.70321525344073
3400932661350,APRANAX 550MG CPR 16,393383.3,4224,23634732686.99,96.70482483640595
3400930140062,PERINDOPRIL AMLO ZEN 4/5MG CPR 90,393197.81,4225,23635125884.8,96.70643366041277
3400936412026,VENTILASTIN NOVOLIZ 100MCG CART+INH 1,392869.63,4226,23635518754.43,96.7080411416251
3400937123853,RAMIPRIL ZEN 10MG CPR 90,392833.23,4227,23635911587.66,96.70964847390172
3400932634965,FLUANXOL LP 100 MG SOL INJ 1,392752.27,4228,23636304339.93,96.71125547491914
3400930029480,ACECLOFENAC BGA 100MG CPR 30,392719.65,4229,23636697059.58,96.71286234246726
3400930078853,XARELTO 15 MG + 20 MG CPR PELL 49,392509.73,4230,23637089569.31,96.71446835109825
3400930163078,TOBRAMYCINE SUN 300MG SOL INH AMP 56,392317.12,4231,23637481886.43,96.71607357163839
3400937775229,KABIVEN EMULSION INJ POC PCE 1026ML 4,392311.1,4232,23637874197.53,96.71767876754684
3400930147856,PREGABALINE ARW 100 MG GELULE 84,391746.5,4233,23638265944.03,96.71928165331519
3400936161382,METFORMINE TVC 850MG CPR 30,391186.9,4234,23638657130.93,96.72088224940164
3400932234622,MAGINJECTABLE 0.8% SOL INJ 10,390990.3,4235,23639048121.23,96.72248204107159
3400930063163,"ARGININE VEYRON 0,918G/5ML SOL BUV 1",390947.82,4236,23639439069.05,96.72408165892867
3400941977039,TELMISARTAN BGA 80MG CPR 30,390871.97,4237,23639829941.02,96.72568096643482
3400938549904,AZATHIOPRINE EG 50MG CPR 100,390738.89,4238,23640220679.91,96.72727972942549
3400934793684,MAXALT 10MG CPR 12,390434.34,4239,23640611114.25,96.72887724630709
3400934254093,QUADRASA 2G PDR RECTALE 7,390385.19,4240,23641001499.44,96.73047456208458
3400941816369,MANIDIPINE BGA 10MG CPR 90,390241.5,4241,23641391740.94,96.73207128993427
3400934384585,"GENOTONORM MINIQUICK 0,8MG/0,25ML 7",390065.78,4242,23641781806.72,96.73366729880094
3400935421500,OXYCONTIN LP 20MG CPR 28,389626.07,4243,23642171432.79,96.73526150853245
3400937977951,CEFPODOXIME EG 100 MG CPR 10,389305.19,4244,23642560737.98,96.7368544053384
3400949954513,REPAGLINIDE BGA 1MG CPR 270,389237.72,4245,23642949975.7,96.7384470260814
3400930100844,BIMATOPROST SDZ 0.1MG/ML COLL 3ML 1,388894.75,4246,23643338870.45,96.74003824351452
3400930176115,PREMINOR 5MG/5MG GELULE 30,388535.39,4247,23643727405.84,96.74162799057576
3400933228910,PENTACARINAT 300MG PDR INJ 1,388262.95,4248,23644115668.79,96.74321662291054
3400930184417,BISOPROLOL VIATRIS 10MG CPR 30,388095.02,4249,23644503763.81,96.74480456813616
3400936298859,TRANXENE 20MG GELULE 28,387999.6,4250,23644891763.41,96.74639212293744
3400922086736,ACETYLLEUCINE TVC 500MG CPR 30,387989.97000000003,4251,23645279753.38,96.74797963833625
3400937279840,ACECLOFENAC VIATRIS 100MG CPR 30,387985.49,4252,23645667738.87,96.74956713540449
3400922367293,VALSARTAN VIATRIS 160MG CPR 30,387966.15,4253,23646055705.02,96.75115455334043
3400933794545,IOMERON 350 SOL INJ FL 100ML 1,387813.94,4254,23646443518.96,96.75274134848777
3400935613547,GLUCOSE 5% AGT SOL INJ POC 1L 1,387779.06,4255,23646831298.02,96.75432800091873
