cip13,lib_cip13,remboursement_total,boites_delivrees,cout_moyen_boite
3400949501007,ENVARSUS LP 1MG CPR ADP BBFARMA 30,7162.09,133,53.8503007518797
3400936592834,TERBINAFINE EG 250MG CPR 14,7172.24,1220,5.878885245901639
3400930228227,DEFERASIROX ACC 90 MG CPR 30,7175.91,104,68.99913461538462
3400930257005,ATORVASTATINE LABO ALTER 20 MG CPR 30,7190.51,1898,3.7884668071654373
3400934416446,PRAVASTATINE ACC 40 MG CPR 28,7196.64,1990,3.6164020100502516
3400938613988,"NARATRIPTAN TVC 2,5MG CPR 6",7202.93,1587,4.538708254568368
3400930054796,ROSUVASTATINE BGA 20MG CPR 90,7220.3,487,14.826078028747434
3400930166819,AMLODIPINE/VALSAT KRK 5MG/80MG CPR 30,7228.97,1362,5.307613803230543
3400926644253,REPAGLINIDE KRKA 1MG CPR 90,7235.59,1163,6.221487532244196
3400922232188,ACARBOSE ARL 50MG CPR 90,7270.84,715,10.169006993006994
3400921783575,IRBESARTAN HCTZ MYP 300/25MG CPR 90,7313.66,841,8.696385255648037
3400930131602,PREGABALINE ZYD 25 MG GELULE 84,7331.87,1351,5.42699481865285
3400930075104,"DOTAREM 0,5 MMOL/ML INJ SER 15ML+MED 1",7332.64,288,25.46055555555556
3400930041079,MEROPENEM ARW 1 G INJ FL 10,7343.6900000000005,56,131.13732142857143
3400930205976,FENTANYL SDZ 600MICROG CPR SUBLING 30,7352.17,127,57.89110236220473
3400938673890,FOSINOPRIL ZEN 20MG CPR 90,7353.469999999999,870,8.452264367816092
3400933495657,LAMISIL 250 MG CPR 14,7354.48,908,8.09964757709251
3400936716865,FLUCONAZOLE ARW 100MG GELULE 7,7386.429999999999,579,12.757219343696027
3400927721908,ABILIFY MAINTENA LP 400 MG SOL INJ 1,7407.24,33,224.4618181818182
3400937949637,ACICLOVIR ZEN 800MG CPR 35,7410.83,344,21.54311046511628
3400949500611,LYRICA 75 MG GELULE 56 BB FARMA 56,7413.94,384,19.307135416666664
3400930116203,CLOZAPINE TVC 100MG CPR 14,7432.26,1411,5.267370659107017
